da ba de men neng jiang ren jia si ？	大 巴 的 门 能 将 人 夹 死 ？
zhe wei yang xian sheng ba ku zao de di li ke shang de sheng dong you qu ， zai gan ba de di li ming ci jian chuan cha xu duo li shi dian gu 。	这 位 杨 先 生 把 枯 燥 的 地 理 课 上 得 生 动 有 趣 ， 在 干 巴 的 地 理 名 词 间 穿 插 许 多 历 史 典 故 。
yin wei bu shao ren xi wang zi ji de bao bao neng gou zhan dian bei jing ao yun hui de xi qi fu qi ， ao yun fu wa de ming zi bei bei jing jing huan huan ying ying he ni ni ， yi ji ao yun yao ming huo liu xiang deng yu bei jing ao yun hui xiang guan de ming cheng ， ye du cheng le xin sheng er de re men dai xuan ming zi ， dan tong shi ye bu ke bi mian di cun zai zhong ming de yin you 。	因 为 不 少 人 希 望 自 己 的 宝 宝 能 够 沾 点 北 京 奥 运 会 的 喜 气 福 气 ， 奥 运 福 娃 的 名 字 贝 贝 晶 晶 欢 欢 迎 迎 和 妮 妮 ， 以 及 奥 运 姚 明 或 刘 翔 等 与 北 京 奥 运 会 相 关 的 名 称 ， 也 都 成 了 新 生 儿 的 热 门 待 选 名 字 ， 但 同 时 也 不 可 避 免 地 存 在 重 名 的 隐 忧 。
qi tie ye tie zhao ， yao ye chi zhao jiu shi gan jue yue lai yue li hai le ， xian zai wo zhen de ji de yao ming ， qing zhuan jia jin kuai hui fu 。	脐 贴 也 贴 着 ， 药 也 吃 着 就 是 感 觉 越 来 越 厉 害 了 ， 现 在 我 真 的 急 得 要 命 ， 请 专 家 尽 快 恢 复 。
wo hen bu xiang zai ji xu he zuo le 。	我 很 不 想 再 继 续 合 作 了 。
ru guo ni zhen de dan bo ming sheng ， ni zen me huan hui dang han jian ？	如 果 你 真 的 淡 泊 名 声 ， 你 怎 么 还 会 当 汉 奸 ？
ling wai ， ye chu xian yi xie bu liang zhong jie hui na zhao zhe xie jian guan zi jin ， juan kuan zou ren de shi qing 。	另 外 ， 也 出 现 一 些 不 良 中 介 会 拿 着 这 些 监 管 资 金 ， 卷 款 走 人 的 事 情 。
tong shi ye you qian ju de qian xi de yin su zai li bian 。	同 时 也 有 迁 居 的 迁 徙 的 因 素 在 里 边 。
zai tie fa shi ren zhi shi ， wang li jun zai dang di de ren li san lun che fu dang zhong yong you wu shang de wei wang 。	在 铁 法 市 任 职 时 ， 王 立 军 在 当 地 的 人 力 三 轮 车 夫 当 中 拥 有 无 上 的 威 望 。
cong ta jie dui yi lai ， a de er man jing chang ba fan gan di wei zhe zhi dui wu zuo le hen chu se de gong zuo zhe ju hua gua zai zui bian 。	从 他 接 队 以 来 ， 阿 德 尔 曼 经 常 把 范 甘 迪 为 这 支 队 伍 做 了 很 出 色 的 工 作 这 句 话 挂 在 嘴 边 。
li liu zi biao shi ， guo bu le huan ping ， xiang mu ye bu ke neng kai jian ， dan jian zong bi bu jian hao ， zhi shao neng gai shan cun min de sheng huo 。	李 流 梓 表 示 ， 过 不 了 环 评 ， 项 目 也 不 可 能 开 建 ， 但 建 总 比 不 建 好 ， 至 少 能 改 善 村 民 的 生 活 。
mei guo zuo ji ren quan shi li de fu mie shi de mei guo bu zai hui yin wei zhi ze bie guo ren quan er e hua guo ji guan xi 。	美 国 左 冀 人 权 势 力 的 覆 灭 使 得 美 国 不 再 会 因 为 指 责 别 国 人 权 而 恶 化 国 际 关 系 。
jin bao pei yang xin ren ying gai shi lian sai de ren wu ba ？	金 报 培 养 新 人 应 该 是 联 赛 的 任 务 吧 ？
bi ru ， zai ban cheng pin shi ， cai yong bu yi yang de gan zao fang shi ， xiao lv he cheng ben wan quan bu tong 。	比 如 ， 在 半 成 品 时 ， 采 用 不 一 样 的 干 燥 方 式 ， 效 率 和 成 本 完 全 不 同 。
zhi hou ， liang xian sheng xie zhu qian lai can yu qiang jiu shang zhe de gong zuo ren yuan yi qi jiang duo ming zhong shang zhe tai shang jiu hu che ， yi zhi jian chi dao jiang zui hou yi ming shang zhe song shang jiu hu che ， ran hou ta ye sui che bei song zhi chang an yi yuan jiu zhi 。	之 后 ， 梁 先 生 协 助 前 来 参 与 抢 救 伤 者 的 工 作 人 员 一 起 将 多 名 重 伤 者 抬 上 救 护 车 ， 一 直 坚 持 到 将 最 后 一 名 伤 者 送 上 救 护 车 ， 然 后 他 也 随 车 被 送 至 长 安 医 院 救 治 。
dan shi ， you yu shang sai ji de shang bing ， wu qi ni qi hen shao shang chang ， er qie shang chang shi ye hen shao ti zi ji shu xi de zhong feng wei zhi 。	但 是 ， 由 于 上 赛 季 的 伤 病 ， 武 齐 尼 奇 很 少 上 场 ， 而 且 上 场 时 也 很 少 踢 自 己 熟 悉 的 中 锋 位 置 。
tong shi ， wo zi ji jian fang ， you yu you zhai ji di ， yong di gen ben bu yong hua qian ， qi ta shi qing ye ke yi zhao cun li de lao shao ye men he qin qi peng you bang mang ， bu yao shuo shi san si wan ， you qi ba wan kuai qian wo men jiu ke yi gai de xiang dang bu cuo le ， er xia yao zhou rang wo men zhu de fang zi ， ta que yao duo hua hen duo qian ， bi ru gou zhi tu di de fei yong ， ji chu she shi deng deng 。	同 时 ， 我 自 己 建 房 ， 由 于 有 宅 基 地 ， 用 地 根 本 不 用 花 钱 ， 其 他 事 情 也 可 以 找 村 里 的 老 少 爷 们 和 亲 戚 朋 友 帮 忙 ， 不 要 说 十 三 四 万 ， 有 七 八 万 块 钱 我 们 就 可 以 盖 得 相 当 不 错 了 ， 而 夏 耀 周 让 我 们 住 的 房 子 ， 他 却 要 多 花 很 多 钱 ， 比 如 购 置 土 地 的 费 用 ， 基 础 设 施 等 等 。
chu le you wan zhou qi suo duan gei xiao fei dai lai geng duo de shang ji wai ， duo jia yin xing zai jie qian da chu de xin yong qia shua qia you hui huo dong wu xing zhong ye ci ji le shi min shua qia gou wu de re qing 。	除 了 游 玩 周 期 缩 短 给 消 费 带 来 更 多 的 商 机 外 ， 多 家 银 行 在 节 前 打 出 的 信 用 卡 刷 卡 优 惠 活 动 无 形 中 也 刺 激 了 市 民 刷 卡 购 物 的 热 情 。
da ji jin de guan li yao yan xu tuan dui he zuo ， te bie zhu yi feng xian 。	大 基 金 的 管 理 要 延 续 团 队 合 作 ， 特 别 注 意 风 险 。
wen dui yuan men hui fa xian yi ge yu xi ding ke bu yi yang de guan li fang shi ma ？	问 队 员 们 会 发 现 一 个 与 希 丁 克 不 一 样 的 管 理 方 式 吗 ？
liang dui du zhong shi bi sai ， dui wu ye du xiang dui qi zheng ， shui neng qu sheng ， qi shi you dian dou zhi de wei dao 。	两 队 都 重 视 比 赛 ， 队 伍 也 都 相 对 齐 整 ， 谁 能 取 胜 ， 其 实 有 点 斗 智 的 味 道 。
pu dong xin qu ren shi diao zheng ， shi shang hai zhe lun ren shi da diao zheng de yi jiao 。	浦 东 新 区 人 事 调 整 ， 是 上 海 这 轮 人 事 大 调 整 的 一 角 。
shi er pei chang qing kuang yi lan ， dui yu dang shi ren zi yuan fang qi bao xian suo pei de ， ke yi gen ju shi gu shuang fang de xie yi nei rong tian xie ， bing qian ming que ren 。	十 二 赔 偿 情 况 一 栏 ， 对 于 当 事 人 自 愿 放 弃 保 险 索 赔 的 ， 可 以 根 据 事 故 双 方 的 协 议 内 容 填 写 ， 并 签 名 确 认 。
ge ge pin pai de fu ze ren du shuo ， ta men fa xian le quan li xia fang de hao chu 。	各 个 品 牌 的 负 责 人 都 说 ， 他 们 发 现 了 权 力 下 放 的 好 处 。
you bei hou de zhu zi mo yun jiu ke yi ， zhi yu ming que de dao zhu ren yi ju yong gan zhi lei de jing shen gu li huo ji dian rou bao zi xie zi de wu zhi jiang li ze deng bi zi shang lian ， bian ben jia li ， shi nue ruo zhe ， huo tuo tuo yi ge ge zhang ya wu zhua de bao min 。	有 背 后 的 主 子 默 允 就 可 以 ， 至 于 明 确 得 到 主 人 一 句 勇 敢 之 类 的 精 神 鼓 励 或 几 点 肉 包 子 屑 子 的 物 质 奖 励 则 蹬 鼻 子 上 脸 ， 变 本 加 厉 ， 施 虐 弱 者 ， 活 脱 脱 一 个 个 张 牙 舞 爪 的 暴 民 。
er wei ti gao xiao lv ， yuan gong bi xu chang ben shi ， yin ci ， gong si bi xu yao hua da li qi bu duan di wan shan pei xun ti xi ， xian jin de pei xun ti xi ke yi jiang yuan gong de qian li jin kuai di fa hui chu lai ， qu man zu bu duan bian hua de jing ying xu yao 。	而 为 提 高 效 率 ， 员 工 必 须 长 本 事 ， 因 此 ， 公 司 必 须 要 花 大 力 气 不 断 地 完 善 培 训 体 系 ， 先 进 的 培 训 体 系 可 以 将 员 工 的 潜 力 尽 快 地 发 挥 出 来 ， 去 满 足 不 断 变 化 的 经 营 需 要 。
xu yun jie shao shuo ， dang tian pai she de shi ta ji jiang chu dong qu jiang fan zui tuan huo yi wang da jin qian de xi ， jin guan xi fen bu duo ， dan dui ju qing fa zhan qi dao zhi guan zhong yao de zuo yong 。	徐 筠 介 绍 说 ， 当 天 拍 摄 的 是 她 即 将 出 动 去 将 犯 罪 团 伙 一 网 打 尽 前 的 戏 ， 尽 管 戏 份 不 多 ， 但 对 剧 情 发 展 起 到 至 关 重 要 的 作 用 。
ji zhe cong guang dong sheng gao ji ren min fa yuan le jie dao ， mu qian ci an yi jing fa hui guang zhou shi zhong yuan zhong shen 。	记 者 从 广 东 省 高 级 人 民 法 院 了 解 到 ， 目 前 此 案 已 经 发 回 广 州 市 中 院 重 审 。
zhao ci tui suan ， gai shi you wan yu kao sheng ti qian can jia zhong kao 。	照 此 推 算 ， 该 市 有 万 余 考 生 提 前 参 加 中 考 。
nian qing bing fei jiu shi you shi ， dan tai lao ye bu xing ， zuo tian ， nian mai de rui dian dui jiu shi ru ci bei nian qing li zhuang de e luo si pao si de 。	年 轻 并 非 就 是 优 势 ， 但 太 老 也 不 行 ， 昨 天 ， 年 迈 的 瑞 典 队 就 是 如 此 被 年 轻 力 壮 的 俄 罗 斯 跑 死 的 。
suo yi ， zhi an gong zuo huan yao jia da li du 。	所 以 ， 治 安 工 作 还 要 加 大 力 度 。
qie duan pi ji jie mian de xin hao yuan biao qing wen de xing cheng yuan yu pi fu dui biao qing de ji yi ， er zhe zhong ji yi de zai ti jiu shi pi ji jie mian 。	切 断 皮 肌 界 面 的 信 号 源 表 情 纹 的 形 成 源 于 皮 肤 对 表 情 的 记 忆 ， 而 这 种 记 忆 的 载 体 就 是 皮 肌 界 面 。
ju ye nei ren shi cheng ， qi zhong yun yu zhao nan yi bi mian de huo li hui tu he feng xian shi fang de ya li 。	据 业 内 人 士 称 ， 其 中 孕 育 着 难 以 避 免 的 获 利 回 吐 和 风 险 释 放 的 压 力 。
du xin de dao tai luo ma shi shi bi ran 。	杜 欣 的 倒 台 落 马 实 是 必 然 。
e luo si dui shu you guan dao de tou zi bu jin neng gou jia qiang bao jia li ya dui e luo si neng yuan gong ying de yi lai ， er qie ke yi jin yi bu dui ou meng jin xing qiao zha ， jin guan zai suo fei ya qian shu de xie ding ye neng gou shi qi ta ou meng guo jia ru xi la ， yi da li ， ao di li deng guo jia huo li 。	俄 罗 斯 对 输 油 管 道 的 投 资 不 仅 能 够 加 强 保 加 利 亚 对 俄 罗 斯 能 源 供 应 的 依 赖 ， 而 且 可 以 进 一 步 对 欧 盟 进 行 敲 诈 ， 尽 管 在 索 菲 亚 签 署 的 协 定 也 能 够 使 其 它 欧 盟 国 家 如 希 腊 ， 意 大 利 ， 奥 地 利 等 国 家 获 利 。
na me wo na ke zhi re de xin you diu shi zai le na li ？	那 么 我 那 颗 炙 热 的 心 又 丢 失 在 了 哪 里 ？
， bi sai kai shi hou jin jin ji fen zhong ， qiu mi jiu neng kan dao yi ge he shang chang dui bu lai ke ben shi huan ran yi xin de she fu qin ke ， wu ke lan ren de pao dong bi zai lian sai zhong geng jia ji ji ， fan wei ye geng da 。	， 比 赛 开 始 后 仅 仅 几 分 钟 ， 球 迷 就 能 看 到 一 个 和 上 场 对 布 莱 克 本 时 焕 然 一 新 的 舍 甫 琴 科 ， 乌 克 兰 人 的 跑 动 比 在 联 赛 中 更 加 积 极 ， 范 围 也 更 大 。
dan shi ， ta men zong shi yao wo guai ， yao wo nu li ， yao wo shi zui you xiu de 。	但 是 ， 他 们 总 是 要 我 乖 ， 要 我 努 力 ， 要 我 是 最 优 秀 的 。
dan shi ， zhe xie yi xie xing ye ， ta men shi que fa zai gong si ceng ci huo zhe gong chang ceng ci shang de yi zhong gui mo jing ji 。	但 是 ， 这 些 一 些 行 业 ， 他 们 是 缺 乏 在 公 司 层 次 或 者 工 厂 层 次 上 的 一 种 规 模 经 济 。
yue ri ， zai si chuan sheng shen fang shi zai qing zui yan zhong de ying hua zhen jiu yuan xian chang ， hu jin tao zong shu ji yong hong liang de sheng yin jian ding di han chu le zhe ju hua 。	月 日 ， 在 四 川 省 什 邡 市 灾 情 最 严 重 的 蓥 华 镇 救 援 现 场 ， 胡 锦 涛 总 书 记 用 洪 亮 的 声 音 坚 定 地 喊 出 了 这 句 话 。
han guo nian chu chu xian de han yuan bian zhi gu shi xia cuo ， yi ji zhe ci yue nan de jin rong feng bao ， du he zhe yi guo ji zi ben liu dong de xin dong xiang you guan 。	韩 国 年 初 出 现 的 韩 元 贬 值 股 市 下 挫 ， 以 及 这 次 越 南 的 金 融 风 暴 ， 都 和 这 一 国 际 资 本 流 动 的 新 动 向 有 关 。
zai huan bao gong ye gang gang zhan lu tou jiao de na ge nian dai ， gu chu jun de wu fu zhi leng ji shu que shi ye hen you fa zhan de kong jian 。	在 环 保 工 业 刚 刚 崭 露 头 角 的 那 个 年 代 ， 顾 雏 军 的 无 氟 制 冷 技 术 确 实 也 很 有 发 展 的 空 间 。
hen shao ren neng gen ta yi yang zhi dao ru he zhun bei 。	很 少 人 能 跟 他 一 样 知 道 如 何 准 备 。
chu zi guang dong dui de ma lin yong you zhu chang zhi li ， ben di mei ti du zheng xiang cai fang ta 。	出 自 广 东 队 的 马 琳 拥 有 主 场 之 利 ， 本 地 媒 体 都 争 相 采 访 他 。
zui jin zai da cheng dong jie zhao xian he ji hua xie yi de guo cheng zhong ， zhong guo zheng ming bu guan shi zuo wei dong dao zhu huan shi tan pan de tui dong zhe du shi bu ke huo que de 。	最 近 在 达 成 冻 结 朝 鲜 核 计 划 协 议 的 过 程 中 ， 中 国 证 明 不 管 是 作 为 东 道 主 还 是 谈 判 的 推 动 者 都 是 不 可 或 缺 的 。
ta hao xiang hen le jie wo ， rang wo bie gei zi ji tai da de xue xi ya li ， qi shi ， ta gen ben bu le jie wo 。	她 好 像 很 了 解 我 ， 让 我 别 给 自 己 太 大 的 学 习 压 力 ， 其 实 ， 她 根 本 不 了 解 我 。
yan jiu gong zuo chi xu le hen chang shi jian ， zhi dao liang nian hou de nian ， fu ge te cai fa biao le zong jie bao gao ， chan ming lie ning de da nao jie gou yu chang ren xiang bi cun zai zhao ming xian de you yi zhi chu 。	研 究 工 作 持 续 了 很 长 时 间 ， 直 到 两 年 后 的 年 ， 福 格 特 才 发 表 了 总 结 报 告 ， 阐 明 列 宁 的 大 脑 结 构 与 常 人 相 比 存 在 着 明 显 的 优 异 之 处 。
ci wai ， san yi kou yu de kao shi shi yi dui yi de xing shi ， kao guan he kao sheng ren xuan hua ti ， you kao sheng jin xing fa hui ， san yi kou yu de zheng shu fa fang ye geng kuai yi xie 。	此 外 ， 三 一 口 语 的 考 试 是 一 对 一 的 形 式 ， 考 官 和 考 生 任 选 话 题 ， 由 考 生 进 行 发 挥 ， 三 一 口 语 的 证 书 发 放 也 更 快 一 些 。
wu jing shui dian yi zong dui san zhi dui fu can mou chang ren da jun da zhao shou dian tong ， fan chu zhao xiang ji li ta zai ye jian pai dao de yi tiao du she gei ji zhe kan bu da ， ye bu hen chang ， dan zheng zhao zhao zhan shi men su ying de fang xiang you zou 。	武 警 水 电 一 总 队 三 支 队 副 参 谋 长 任 大 军 打 着 手 电 筒 ， 翻 出 照 相 机 里 他 在 夜 间 拍 到 的 一 条 毒 蛇 给 记 者 看 不 大 ， 也 不 很 长 ， 但 正 朝 着 战 士 们 宿 营 的 方 向 游 走 。
dan dao le zui jin ， ta men cai le jie dao fang wu chan quan bu jin bu shi zhu zhai ， chan quan ren ye bian le 。	但 到 了 最 近 ， 他 们 才 了 解 到 房 屋 产 权 不 仅 不 是 住 宅 ， 产 权 人 也 变 了 。
mu qian wei zhi ， dan wei zi jian fang de xiang guan xi ze huan mei you gong bu ， wo tui ce ying gai lei si yu shi wu fen fang de xing shi ， jia ge bian yi ， nei bu zhi gong fen xiang 。	目 前 为 止 ， 单 位 自 建 房 的 相 关 细 则 还 没 有 公 布 ， 我 推 测 应 该 类 似 于 实 物 分 房 的 形 式 ， 价 格 便 宜 ， 内 部 职 工 分 享 。
mu qian yi xie ji jin pin zhong zai ren gou shi ， zhi xing bi li pei shou ， zhe bi qi xian ren gou xian mai jin de zuo fa geng jia gong zheng ， tou zi zhe ye bu hui bao yuan ji jin gong si li yong qu dao bian li ， xian mai jin da liang ji jin fen e 。	目 前 一 些 基 金 品 种 在 认 购 时 ， 执 行 比 例 配 售 ， 这 比 起 先 认 购 先 买 进 的 做 法 更 加 公 正 ， 投 资 者 也 不 会 抱 怨 基 金 公 司 利 用 渠 道 便 利 ， 先 买 进 大 量 基 金 份 额 。
shang qi ji tuan zui xin zai shang hai che zhan liang xiang le qi xin neng yuan che xing rong wei zhong qiang hun he dong li che shang hai pai ran liao dian chi jiao che ， wei qi xin neng yuan qi che kai fa zheng ce shi shi da xiang tou pao 。	上 汽 集 团 最 新 在 上 海 车 展 亮 相 了 其 新 能 源 车 型 荣 威 中 强 混 合 动 力 车 上 海 牌 燃 料 电 池 轿 车 ， 为 其 新 能 源 汽 车 开 发 政 策 实 施 打 响 头 炮 。
lai ku ning sai hou ye cheng ren ， wo zai che dui de wu xian dian tong xun zhong ， ting dao le zhe ge xiao xi ， ni zhi dao ， wo hen gao xing ， dan huan shi bu gan fang song 。	莱 库 宁 赛 后 也 承 认 ， 我 在 车 队 的 无 线 电 通 讯 中 ， 听 到 了 这 个 消 息 ， 你 知 道 ， 我 很 高 兴 ， 但 还 是 不 敢 放 松 。
deng wo feng le si di yi lu kuang ben he yi sheng dao le wu lou ， tui kai men ， wo de mu qin ， xiang wu shui yi yang ， tang zai jin men ta chang tang de teng sha fa shang 。	等 我 疯 了 似 地 一 路 狂 奔 和 医 生 到 了 五 楼 ， 推 开 门 ， 我 的 母 亲 ， 像 午 睡 一 样 ， 躺 在 进 门 她 常 躺 的 藤 沙 发 上 。
zheng dong biao shi ， chu le chang gui de gu zhi pan duan ， gang tie xing ye ge gu de cha yi hua zhi biao huan bao kuo pin zhong jie gou gao duan he cheng chang xing chan liang gui mo da ， wai bu cheng ben yin su deng 。	郑 东 表 示 ， 除 了 常 规 的 估 值 判 断 ， 钢 铁 行 业 个 股 的 差 异 化 指 标 还 包 括 品 种 结 构 高 端 和 成 长 性 产 量 规 模 大 ， 外 部 成 本 因 素 等 。
